class,tweet
0,@timgw37 F* the #Welfare Thugs! #EndWelfare. They'll do Thug #Obama's 'jobs #Americans wont do' or ... Starve. #NoRefugees #DeportIllegals #CutBudget
0,#RefugeeWeek. No thanks it's #refugeesNOTwelcome #NoRefugees today and every day at my house.
0,Tell Patagonia to go back to Patagonia! Syrian Iran &amp; Mexico cannot take over America through 'Immigration'! #BanMuslims #Deport🇲🇽#ZeroDACA
0,@FoxNewsResearch @toni_s_r_ #NoRefugees Keep USA safe!
0,Some ministry. Bilk your neighbors  foist invaders on them get paid by US government! #RefugeesWelcome #refugeesNOTwelcome https://t.co/mDUrHtAVm0
0,@RepGutierrez Once they're deported to their home country #NoAmnesty #NoRefugees No more dependents Jobs for citizens #NoSanctuaries #BuildTheWall
0,TURN DOWN FOR WHAT!!! #REFUGEESNOTWELCOME https://t.co/o1gmVkD8Tb
0,No to #propaganda 👎 More here: https://t.co/KxvY72CZ5d #MoreThanARefugee - true version #RefugeesNotWelcome https://t.co/3vYUCLiups
0,@ChelseaClinton what a joke. Third worlders forced on us by your immigration policies bring ancient diseases back. #NoRefugees #rapefugees
0,@foxnation #NoAmnesty #NoRefugees No more taxpayer-supported dependents Jobs for citizens Arrest sanctuary officials Deport ALL #illegals #BuildTheWall
0,Courage. Resolve. Santity. Don't back down send them back. #RefugeesNotWelcome https://t.co/cta2hPVvOw
0,@kwilli1046 #NoRefugees We do not want this in the USA! @realDonaldTrump @POTUS @jeffsessions @DHSgov  Stop refugees from entering USA now! #MASA
0,RT @Raeilgh1: Stay in your own country and fight for or rebuild her!  #RefugeesNOTWelcome  :-) https://t.co/smD3DaWKEU
0,@TwitterMoments Stay in your own safe spaces in Syria. #RefugeesNotWelcome
0,@JaredoTexas #NoRefugees!!! #DeportIllegals... No #Deport them ALL !!! #AnchorBabies Too! #EndWelfare in #US
0,RT @DVATW: Whilst deporting our enemies is welcome it would be best if we closed our borders to them in the first place! #Refugeesnotwelcome
0,Letting them into the West is not the answer it is unsustainable short sighted and dangerous #WorldRefugeeDay #refugeesnotwelcome
0,@politicshome HOPEFULLY EIGHT BILLS WILL BE ENOUGH BILLS! #Brexit WILL ALWAYS MEAN #Brexit! #QueensSpeech #refugeesNOTwelcome
0,RT @LacyUnderal: TRASH! Somali MARRIES BROTHER TO GET INTO USA!!WTF? DON'T U GET IT? These ppl R GARBAGE #BanMuslims First Muslim So https:…
0,@CM2ALAW @LATiffani1 Not welcome here until we can care for our own citizens. #NoRefugees #MuslimBan #MAGA
0,RT @som_english: Our home is not your home. #refugeesnotwelcome. @stopislamization @FDW_VB https://t.co/k7l5oZ1HSs
0,WE FOUGHT 2MAKE IT GREAT. STOP IMMIGRATION until we can get it under control weed out ILLEGALS expired visas. #DeportIllegals #BanMuslims https://t.co/EvgKt0KaRc
0,RT @AayatReborn: "Islam has nothing to do with terrorism" sounds like "Shit has nothing to do with asshole"  #StopBeingMoron #BanIslam #Lon…
0,RT @BuntySoftbunty: #WorldRefugeeDay Just let this sink in! #DiversityKills #MulticulturalismSucks #TheyHaveToGoBack #RefugeesNotWelcome ht…
0,RT @GMA4Trump_: @American1765 @BelindaBee13 #Banmuslims #bansharialaw! That is the only answer!
0,RT @Hannesz1956: TRUE!!! #stopislam #banislam #stopmuslimimmigration https://t.co/3OVK3dM5NB
0,RT @JulietteIsabell: Assimilate? No they all need to go back to their own countries. #BanMuslims Sorry if someone disagrees too bad. Yes…
0,RT @kategunn1776: It needs to be removed in the #USA too. #SCOTUS #usconstitution #banislam #bansharialaw #bluehand 8 U.S. Code § 1182 - In…
0,RT @KSelvester: We must #BanShariaLaw #BanMuslims #BanFGM #BanHonorKillings #BanIslam https://t.co/daU7tG52tg
0,RT @LacyUnderal: Makes ME SICK! U SHLD B WORRIED.#BanMuslims Islam is ILLEGAL! Unexpected US City Being WIPED OUT By Muslim Migrants https:…
0,RT @Libby_Lael: Islam's true colors revealed. #BanIslam https://t.co/QxjBJ7WIjD
0,RT @LibertyUSA1776: @HouseGOP @POTUS @TheWhiteHouse #NoRefugees Defund the The Refugee Act of 1980. Stop flooding America with potential te…
0,RT @Nationalism4UK: It's #RefugeeWeek - where we celebrate traitorous NGOs smuggling fake refugees into our nations. #RefugeesNOTwelcome
0,RT @RodStryker: STOP IMPORTING TERRORISTS! 🛇#NoRefugees🛇 #TravelBan✔ #ExtremeVetting✔ #LookAtLondonNow #NEVERFORGET911 #ObamaLegacy  https:…
0,@mostevilgenius @BBCBreaking @POTUS @realDonaldTrump HOW MANY SO-CALLED 'REFUGEES' ARE YOU WILLING TO HOUSE YOU GENIUS IDIOT? #MAGA #refugeesNOTwelcome
0,#WorldRefugeeDay no thanks these "refugees" are ruining Europe and killing and raping mypeople so fuck off with this day #refugeesnotwelcome
0,#UK Retrospective: 10 years of Islamic #terrorism in #Britain…  https://t.co/JeFKWhMKuU  #BanMuslims #IslamIsTheProblem  #WhiteGenocide #WN
0,Maybe we should allow Shariah law for a test phase. Some good lessons can be taught.  😂 #BanIslam https://t.co/VOJAwGgqFd
0,RT @mortinsonoffice: Spain was islamic for 800 years. But we got rid of the vermin #BanIslam https://t.co/75ujzjYuAH
0,#Gay #Liberals: PLEASE READ THE #QUARAN THEN LET ME KNOW IF YOU CAN BE A MUSLIM…I'LL WAIT  #LGBT #LGBTQ #Gay #Queer #BanIslam #BanMuslims
